,RE,time,energy_dash_10K,target_dash_10K,adoption_10K,energy_dash_30K,target_dash_30K,adoption_30K,energy_dash_100K,target_dash_100K,adoption_100K,energy_10K,target_10K,E_target_10K,p_10K,energy_30K,target_30K,E_target_30K,p_30K,energy_100K,target_100K,E_target_100K,p_100K,RE_0,RE_1
28,False,13.055684566497803,0.017526896024460115,301.9736633300781,False,0.017712862516159333,294.6432189941406,False,0.014131815458053865,357.2422180175781,True,0.004135401273483552,316.1074523925781,325.8446960449219,1.0,0.00404957058500699,333.6907958984375,327.45700599407326,1.0,0.014131815458053865,357.2422180175781,301.3810277478448,1.0,,
29,True,13.058708190917969,,,,,,,,,,0.00404957058500699,333.6907958984375,326.1062327067057,1.0,0.004135401273483552,316.1074523925781,327.0786875406901,1.0,0.014131815458053865,357.2422180175781,303.2430674235026,1.0,False,True
30,False,13.399360179901123,0.009892733121628083,336.2308349609375,False,0.012188227201217927,284.6108703613281,False,0.020664484525436677,331.7886962890625,False,0.00404957058500699,333.6907958984375,326.3508960354713,0.46855336071244025,0.004135401273483552,316.1074523925781,326.7247767294607,0.46855336071244025,0.014131815458053865,357.2422180175781,304.98497550718247,0.46855336071244025,,
31,False,13.635774850845337,0.008454592252487458,344.22894287109375,False,0.017404825711960115,300.14910888671875,False,0.01668384792875699,363.0412292480469,True,0.00404957058500699,333.6907958984375,326.58026790618896,0.7436691103386912,0.004135401273483552,316.1074523925781,326.3929853439331,0.7436691103386912,0.01668384792875699,363.0412292480469,306.7992334365845,0.7436691103386912,,
32,False,13.833471775054932,0.017990381742233552,308.06817626953125,False,0.014193804288620271,279.297607421875,False,0.015869410062546052,384.48651123046875,True,0.00404957058500699,333.6907958984375,326.7957384514086,1.0,0.004135401273483552,316.1074523925781,326.0813025272254,1.0,0.015869410062546052,384.48651123046875,309.1533933697325,1.0,,
33,False,14.103834390640259,0.020363123441452302,346.93548583984375,False,0.015237123990768708,367.2804870605469,False,0.020680696988815583,304.9608154296875,False,0.00404957058500699,333.6907958984375,326.99853425867417,0.5721570416394057,0.004135401273483552,316.1074523925781,325.7879539938534,0.5721570416394057,0.015869410062546052,384.48651123046875,311.36907330681294,0.5721570416394057,,
34,False,14.323963165283203,0.01582935574125699,315.36883544921875,False,0.016468317533249177,294.0419616699219,False,0.015393526578659333,380.57379150390625,True,0.00404957058500699,333.6907958984375,327.189741734096,1.0,0.004135401273483552,316.1074523925781,325.51136823381694,1.0,0.015393526578659333,380.57379150390625,313.34635096958704,1.0,,
35,True,14.32703709602356,,,,,,,,,,0.004135401273483552,316.1074523925781,326.8819003634983,0.9357533213636161,0.00404957058500699,333.6907958984375,325.7385745578342,0.9357533213636161,0.015393526578659333,380.57379150390625,315.2137798733181,0.9357533213636161,False,True
36,False,14.529621839523315,0.010141642118210115,378.0359802246094,False,0.004119188810104646,311.36627197265625,True,0.018684656644577302,315.0782165527344,True,0.004135401273483552,316.1074523925781,326.59069906698693,0.6825427453397178,0.004119188810104646,311.36627197265625,325.350133947424,0.6825427453397178,0.018684656644577302,315.0782165527344,315.21011599978885,0.6825427453397178,,
37,False,14.809816360473633,0.01733997585844449,351.0340576171875,False,0.01228168728422574,278.5689697265625,False,0.02199390652250699,258.99505615234375,True,0.004135401273483552,316.1074523925781,326.31482415450245,0.6811090202734101,0.004119188810104646,311.36627197265625,324.9821375796669,0.6811090202734101,0.02199390652250699,258.99505615234375,313.7307723195929,0.6811090202734101,,
38,False,15.122004747390747,0.01660755398344449,307.9461975097656,False,0.017160685086960115,270.18011474609375,False,0.025018961454147615,256.2383728027344,True,0.004135401273483552,316.1074523925781,326.0530966734275,0.7039467602333794,0.004119188810104646,311.36627197265625,324.6330128205128,0.7039467602333794,0.025018961454147615,256.2383728027344,312.25660822941705,0.7039467602333794,,
39,False,15.328920364379883,0.01795795681547574,314.7561950683594,False,0.012188227201217927,284.6108703613281,False,0.02096393826078824,255.8418731689453,True,0.004135401273483552,316.1074523925781,325.80445556640626,1.0,0.004119188810104646,311.36627197265625,324.3013442993164,1.0,0.02096393826078824,255.8418731689453,310.8462398529053,1.0,,
